ulcs_code,school_name,school_level,school_address,school_website,school_abbreviation,year_opened,year_closed,geometry
5600,Kensington Urban Education Academy,high,2051 E CUMBERLAND ST,,,2010.0,2015-2016,POINT EMPTY
5650,Sheridan West School,middle,G & ONTARIO ST,,,,2012-2013,POINT EMPTY
5660,the LINC,high,122 W ERIE AVE,,,2014.0,,POINT EMPTY
6020,Germantown High School,high,GERMANTOWN & HIGH ST,,,,2012-2013,POINT EMPTY
6070,Philadelphia Military Academy at Leeds,high,1100 E MT PLEASANT AVE,,,,2012-2013,POINT EMPTY
6100,Morris E. Leeds School,middle,MT PLEASANT & WOOLSTON AVE,,,1953.0,2015-2016,POINT EMPTY
6110,Theodore Roosevelt Middle School,middle,WASHINGTON LANE & MUSGRAVE,,,,2012-2013,POINT EMPTY
6150,Clarence E. Pickett Middle School,middle,WAYNE & CHELTEN AVES,,,,2006-2007,POINT EMPTY
6160,Ada H. Lewis Middle School,middle,TULPEHOCKEN & ARDLEIGH STS,,,,2006-2007,POINT EMPTY
6240,Robert Fulton School,elementarymiddle,HAINES E OF GERMANTOWN AVE,,,,2012-2013,POINT EMPTY
6270,John Story Jenks Academy for Arts and Sciences,elementarymiddle,GERMANTOWN & SOUTHAMPTON AVE,,,1924.0,,POINT EMPTY
6280,John L. Kinsey School,elementarymiddle,65TH & LIMEKILN PIKE,,,,2012-2013,POINT EMPTY
6290,William Levering School,elementarymiddle,RIDGE AVE & GERHARD,,,,2011-2012,POINT EMPTY
6330,Francis P. Pastorius School,elementarymiddle,CHELTEN & SPRAGUE ST,,,,2012-2013,POINT EMPTY
6430,John Wister School,elementary,WAKEFIELD & BRINGHURST,,,1955.0,2015-2016,POINT EMPTY
6460,Hill-Freedman School,middlehigh,TUPLEHOCKEN & CRITTENDEN STS,,,1980.0,,POINT EMPTY
7020,Olney High School,high,FRONT & DUNCANNON AVE,,,,2004-2005,POINT EMPTY
7040,Olney West High School,high,FRONT & DUNCANNON AVE,,,,2010-2011,POINT EMPTY
7050,Olnet East High School,high,FRONT & DUNCANNON AVE,,,,2010-2011,POINT EMPTY
7150,G & Hunting Park,elementarymiddle,G & HUNTING PARK AVE,,,2007.0,,POINT EMPTY
7210,Gen. David B. Birney School,elementary,9TH & LINDLEY AVE,,,,2010-2011,POINT EMPTY
7240,Thmoas Creighton School,elementarymiddle,TABOR RD & FOULKROD,,,,2011-2012,POINT EMPTY
7250,Henry R. Edmunds School,elementarymiddle,LARGE & DYRE,,,,2011-2012,POINT EMPTY
7420,Franklind Smedley School,elementary,BRIDGE & MULBERRY ST,,,,2009-2010,POINT EMPTY
7500,Central East Middle School,middle,B & WYOMING AVE,,,1993.0,,POINT EMPTY
7500,Feltonville Arts & Sciences School,middle,210 E COURTLAND ST,,,1993.0,,POINT EMPTY
8150,Nejamin Rush Middle School,middle,KNIGHTS & FAIRDALE RDS,,,,2006-2007,POINT EMPTY
8180,John Hancock Demonstration School,elementary,MORRELL & CROWN AVES,,,1968.0,2015-2016,POINT EMPTY
8320,General J. Harry LaBrum School,middle,HAWLEY & BROOKVIEW ROADS,,,1974.0,2015-2016,POINT EMPTY
3301,Community Academy of Philadelphia Charter School ,elementarymiddlehigh,1100 E ERIE AVE,,,1997.0,,POINT EMPTY
3303,World Communications Charter School,middlehigh,512 S BROAD ST,,,1997.0,,POINT EMPTY
3305,Center for Economics & Law Charter School,high,3020 MARKET ST,,,,2003-2004,POINT EMPTY
3308,Family Charter,elementary,3512 HAVERFORD AVE 2ND FL,,,1998.0,,POINT EMPTY
3308,Belmont Academy Charter School,elementary,907 NORTH 41ST ST,,,1998.0,,POINT EMPTY
3312,Multi-Cultural Academy Charter School,high,4666-68 N 15TH ST,,,1998.0,,POINT EMPTY
